linha,tipo_cartao,n
315 - Messejana/Parangaba,Estudante,1029
315 - Messejana/Parangaba,Gratuidade,174
315 - Messejana/Parangaba,Inteira,1101
315 - Messejana/Parangaba,Vale Transporte,1458
316 - Genibau/Centro,Estudante,344
316 - Genibau/Centro,Gratuidade,62
316 - Genibau/Centro,Inteira,407
316 - Genibau/Centro,Vale Transporte,586
317 - Cidade Nova/Parangab,Estudante,816
317 - Cidade Nova/Parangab,Gratuidade,248
317 - Cidade Nova/Parangab,Inteira,1134
317 - Cidade Nova/Parangab,Vale Transporte,1504
318 - Av. Lineu Machado,Estudante,246
318 - Av. Lineu Machado,Gratuidade,27
318 - Av. Lineu Machado,Inteira,287
318 - Av. Lineu Machado,Vale Transporte,394
319 - Pq.Sao Jose/Osorio d,Estudante,449
319 - Pq.Sao Jose/Osorio d,Gratuidade,149
319 - Pq.Sao Jose/Osorio d,Inteira,603
319 - Pq.Sao Jose/Osorio d,Vale Transporte,887
31 - Av. Borges de Melo 1,Estudante,1459
31 - Av. Borges de Melo 1,Gratuidade,442
31 - Av. Borges de Melo 1,Inteira,1499
31 - Av. Borges de Melo 1,Vale Transporte,3520
320 - Joao  XXIII/Centro,Estudante,283
320 - Joao  XXIII/Centro,Gratuidade,53
320 - Joao  XXIII/Centro,Inteira,291
320 - Joao  XXIII/Centro,Vale Transporte,493
321 - Jardim Uniao/Paranga,Estudante,953
321 - Jardim Uniao/Paranga,Gratuidade,240
321 - Jardim Uniao/Paranga,Inteira,1024
321 - Jardim Uniao/Paranga,Vale Transporte,1621
322 - Granja Portugal/Lago,Estudante,394
322 - Granja Portugal/Lago,Gratuidade,142
322 - Granja Portugal/Lago,Inteira,532
322 - Granja Portugal/Lago,Vale Transporte,749
323 - Joao XXIII/Lagoa,Estudante,465
323 - Joao XXIII/Lagoa,Gratuidade,134
323 - Joao XXIII/Lagoa,Inteira,571
323 - Joao XXIII/Lagoa,Vale Transporte,676
324 - Cj Ceara/1a Etapa,Estudante,124
324 - Cj Ceara/1a Etapa,Gratuidade,7
324 - Cj Ceara/1a Etapa,Inteira,94
324 - Cj Ceara/1a Etapa,Vale Transporte,132
325 - ARACAPE/SIQUEIRA,Estudante,391
325 - ARACAPE/SIQUEIRA,Gratuidade,110
325 - ARACAPE/SIQUEIRA,Inteira,363
325 - ARACAPE/SIQUEIRA,Vale Transporte,479
327 - Cj Ceara/4a Etapa,Estudante,479
327 - Cj Ceara/4a Etapa,Gratuidade,210
327 - Cj Ceara/4a Etapa,Inteira,1012
327 - Cj Ceara/4a Etapa,Vale Transporte,1258
329 - Parque Santa Rosa/Si,Estudante,397
329 - Parque Santa Rosa/Si,Gratuidade,182
329 - Parque Santa Rosa/Si,Inteira,619
329 - Parque Santa Rosa/Si,Vale Transporte,960
32 - Av. Borges de Melo 2,Estudante,1373
32 - Av. Borges de Melo 2,Gratuidade,451
32 - Av. Borges de Melo 2,Inteira,1655
32 - Av. Borges de Melo 2,Vale Transporte,3469
330 - Cj Esperanca/Siqueir,Estudante,305
330 - Cj Esperanca/Siqueir,Gratuidade,103
330 - Cj Esperanca/Siqueir,Inteira,487
330 - Cj Esperanca/Siqueir,Vale Transporte,608
331 - Cj Esperanca/Centro,Estudante,652
331 - Cj Esperanca/Centro,Gratuidade,215
331 - Cj Esperanca/Centro,Inteira,647
331 - Cj Esperanca/Centro,Vale Transporte,1373
332 - Siqueira/Lagoa,Estudante,148
332 - Siqueira/Lagoa,Gratuidade,67
332 - Siqueira/Lagoa,Inteira,230
332 - Siqueira/Lagoa,Vale Transporte,296
333 - Bom Jardim/Centro,Estudante,614
333 - Bom Jardim/Centro,Gratuidade,207
333 - Bom Jardim/Centro,Inteira,802
333 - Bom Jardim/Centro,Vale Transporte,1077
334 - Modubim/Siqueira,Estudante,105
334 - Modubim/Siqueira,Gratuidade,46
334 - Modubim/Siqueira,Inteira,148
334 - Modubim/Siqueira,Vale Transporte,269
335 - Bom Jardim 1,Estudante,834
335 - Bom Jardim 1,Gratuidade,237
335 - Bom Jardim 1,Inteira,1095
335 - Bom Jardim 1,Vale Transporte,1697
336 - Parque Santa Cecilia,Estudante,541
336 - Parque Santa Cecilia,Gratuidade,194
336 - Parque Santa Cecilia,Inteira,733
336 - Parque Santa Cecilia,Vale Transporte,993
337 - Jardim Jatoba/Siquei,Estudante,457
337 - Jardim Jatoba/Siquei,Gratuidade,142
337 - Jardim Jatoba/Siquei,Inteira,915
337 - Jardim Jatoba/Siquei,Vale Transporte,1113
338 - Canindezinho,Estudante,544
338 - Canindezinho,Gratuidade,189
338 - Canindezinho,Inteira,1023
338 - Canindezinho,Vale Transporte,1208
